房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
朗天峰 1A座 6樓 H室,,"註冊處成交
一手",2房,$440,403 呎,"$10,922",露台 |  | 工作平台
朗天峰 2座 18樓 E室,,"註冊處成交
一手",1房,$367,288 呎,"$12,727",露台 |  | 工作平台
朗天峰 1B座 20樓 C室,,"註冊處成交
一手",2房,$490,397 呎,"$12,331",露台 |  | 工作平台
朗天峰 1B座 18樓 H室,,"註冊處成交
一手",2房,$483,377 呎,"$12,811",露台 |  | 工作平台
朗天峰 1A座 12樓 J室,,"註冊處成交
一手",1房,$361,311 呎,"$11,616",露台 |  | 工作平台
朗天峰 1B座 18樓 C室,,"註冊處成交
一手",2房,$490,397 呎,"$12,336",露台 |  | 工作平台
朗天峰 1B座 9樓 H室,,"註冊處成交
一手",2房,$432,377 呎,"$11,463",露台 |  | 工作平台
朗天峰 2座 18樓 H室,,"註冊處成交
一手",1房,$345,291 呎,"$11,863",露台 |  | 工作平台
朗天峰 2座 15樓 F室,,"註冊處成交
一手",1房,$331,286 呎,"$11,583",露台 |  | 工作平台
朗天峰 1A座 20樓 G室,,"註冊處成交
一手",2房,$500,403 呎,"$12,412",露台 |  | 工作平台
朗天峰 1A座 9樓 G室,,"註冊處成交
一手",2房,$450,403 呎,"$11,171",露台 |  | 工作平台
蝶翠峰 二期 15座 10樓 G室,,註冊處成交,3房,$570,751 呎,"$7,590",露台
富麗閣 7樓 C室,,註冊處成交,1房,$267,214 呎,"$12,477",
勤業樓 3樓 C室,,註冊處成交,-,$268,358 呎,"$7,486",
碧街50-56號 4樓 50A室,,註冊處成交,-,$260,299 呎,"$8,696",
康源閣 14樓 B4室,,註冊處成交,-,$738,586 呎,"$12,594",
帝景閣 16樓 A室,,註冊處成交,3房,"$2,800","1,107 呎","$25,294",露台
華明邨 禮明樓 (1座) 3樓 6室,,註冊處成交,開放式,$192,443 呎,"$4,334",露台
Grand Yoho 1期 1座 7樓 G室,,註冊處成交,2房,$650,507 呎,"$12,821",工作平台
柏景灣 9座 1樓 F室,,註冊處成交,2房,$720,466 呎,"$15,451",
怡樂花園 3座 11樓 B室,,註冊處成交,1房,$290,412 呎,"$7,039",
廣明苑 C座 (廣賢閣) 28樓 2室,,註冊處成交,1房,$415,594 呎,"$6,987",
利奧坊．曦岸 2座 15樓 K室,,註冊處成交,開放式,$340,194 呎,"$17,526",露台
映灣園 二期 8座 56樓 G室,,註冊處成交,3房,$740,737 呎,"$10,041",平台 |  | 露台 |  | 工作平台
淘大花園 1期 A座 28樓 4室,,註冊處成交,2房,$420,375 呎,"$11,200",
置樂花園 3座 (樂怡苑) 11樓 A室,,註冊處成交,2房,$327,449 呎,"$7,278",
荃威花園 R座 33樓 6室,,註冊處成交,-,$320,480 呎,"$6,667",
寶德大廈 5樓 B10室,,註冊處成交,-,$350,366 呎,"$9,563",
貝沙灣 六期 5座 中層 C室,,成交,3房,"$53,000","1,029 呎",$52,車位 |  | 露台
錦禧苑 錦欣閣(B座) 2樓 10室,,註冊處成交,3房,$428,554 呎,"$7,726",露台
美孚新邨 四期 百老匯街109號 13樓 A室,,註冊處成交,3房,$625,656 呎,"$9,527",露台
翠景花園 1座 26樓 B室,,註冊處成交,2房,$500,420 呎,"$11,905",
愉景灣 4期(蘅峰)蘅安徑 蘅峰3座 (彩暉閣) 4樓 C室,,註冊處成交,3房,$470,757 呎,"$6,209",
高宏苑 A座 27樓 19室,,"註冊處成交
一手",-,$229,424 呎,"$5,398",露台
翠景花園 1座 26樓 B室,,註冊處成交,2房,$500,420 呎,"$11,905",
愉景灣 4期(蘅峰)蘅安徑 蘅峰3座 (彩暉閣) 4樓 C室,,註冊處成交,3房,$470,757 呎,"$6,209",
蝶翠峰 二期 09座 低層 H室,,成交,2房,$423,488 呎,"$8,668",
飛揚 2期 5座 17樓 A室,,"註冊處成交
一手",2房,$625,483 呎,"$12,946",
柏傲莊 柏傲莊 II 7A座 19樓 C室,,註冊處成交,2房,$910,454 呎,"$20,044",露台 |  | 工作平台
東港城 1座 低層 E室,,成交,3房,"$18,000",619 呎,$29,
NOVO LAND 3B期 Fiskars 第1座 11樓 A2室,,"註冊處成交
一手",3房,$653,542 呎,"$12,052",露台 |  | 工作平台
名鑄 低層 B室,,成交,1房,"$45,000",817 呎,$55,
瑧頤 高層 A7室,,成交,1房,"$11,800",291 呎,$41,露台
朗天峰 2座 9樓 A室,,"註冊處成交
一手",2房,$435,398 呎,"$10,940",露台 |  | 工作平台
朗天峰 2座 9樓 F室,,"註冊處成交
一手",1房,$321,286 呎,"$11,220",露台 |  | 工作平台
朗天峰 2座 6樓 G室,,"註冊處成交
一手",1房,$298,291 呎,"$10,247",露台 |  | 工作平台
朗天峰 1A座 15樓 J室,,"註冊處成交
一手",1房,$353,311 呎,"$11,338",露台 |  | 工作平台
朗天峰 1B座 7樓 F室,,"註冊處成交
一手",2房,$402,365 呎,"$11,024",露台 |  | 工作平台
朗天峰 1B座 7樓 D室,,"註冊處成交
一手",1房,$325,308 呎,"$10,555",露台 |  | 工作平台
朗天峰 2座 12樓 G室,,"註冊處成交
一手",1房,$312,291 呎,"$10,708",露台 |  | 工作平台
朗天峰 2座 2樓 B室,,"註冊處成交
一手",2房,$514,365 呎,"$14,077",平台
朗天峰 2座 12樓 H室,,"註冊處成交
一手",1房,$310,291 呎,"$10,652",露台 |  | 工作平台
朗天峰 1B座 20樓 G室,,"註冊處成交
一手",1房,$385,282 呎,"$13,654",露台 |  | 工作平台
朗天峰 2座 12樓 J室,,"註冊處成交
一手",1房,$307,286 呎,"$10,720",露台 |  | 工作平台
朗天峰 2座 17樓 B室,,"註冊處成交
一手",2房,$444,403 呎,"$11,028",露台 |  | 工作平台
朗天峰 1B座 11樓 D室,,"註冊處成交
一手",1房,$340,308 呎,"$11,049",露台 |  | 工作平台
朗天峰 1A座 10樓 J室,,"註冊處成交
一手",1房,$340,311 呎,"$10,942",露台 |  | 工作平台
朗天峰 2座 12樓 F室,,"註冊處成交
一手",1房,$323,286 呎,"$11,297",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2A座 17樓 J室,,"註冊處成交
一手",1房,$528,305 呎,"$17,321",露台 |  | 工作平台
Double Coast Double Coast I 3座 23樓 C室,,"註冊處成交
一手",2房,$799,420 呎,"$19,033",露台 |  | 工作平台
Double Coast Double Coast I 3座 18樓 J室,,"註冊處成交
一手",2房,$776,441 呎,"$17,587",露台 |  | 工作平台
新港城 海濤居 4座 15樓 A室,,註冊處成交,3房,$800,626 呎,"$12,780",
太古城 海景花園(東) 雅蓮閣 13樓 C室,,註冊處成交,3房,"$1,191",897 呎,"$13,278",
兆業大廈 4樓 D室,,註冊處成交,-,$270,399 呎,"$6,767",
海景大廈 麼地道31號 10樓 RP室,,註冊處成交,-,$550,701 呎,"$7,846",
義華大廈 1樓 405室,,註冊處成交,-,$380,685 呎,"$5,547",平台
錦暉苑 35樓 17室,,註冊處成交,1房,$438,371 呎,"$11,806",
啟運大廈 11樓 C室,,註冊處成交,2房,$210,220 呎,"$9,545",
東亞花園 大發樓 22樓 3室,,註冊處成交,-,$300,460 呎,"$6,522",
太古城 海景花園(東) 雅蓮閣 26樓 B室,,註冊處成交,3房,"$1,842","1,015 呎","$18,148",
深灣9號 8座 23樓 B室,,註冊處成交,3房,"$3,180","1,268 呎","$25,079",車位 |  | 露台 |  | 工作平台
愉景灣 海寧居 海寧路 7 號 G樓 B室,,註冊處成交,3房,$950,911 呎,"$10,428",花園
怡翠苑 B座 19樓 5室,,註冊處成交,2房,$438,466 呎,"$9,399",
雲滙 1期 3座 5樓 B1室,,註冊處成交,開放式,$375,292 呎,"$12,842",露台
萬信台 13樓 B室,,註冊處成交,-,"$1,000",689 呎,"$14,514",
偉恆昌新邨 恒景閣 J座 8樓 3室,,註冊處成交,2房,$405,372 呎,"$10,887",
富輝花園 1座 3樓 C室,,註冊處成交,3房,$480,570 呎,"$8,421",
翠濤閣 1座 15樓 E室,,註冊處成交,3房,$578,703 呎,"$8,222",
偉基樓 10樓 E室,,註冊處成交,-,$280,301 呎,"$9,302",
濱景花園 2座 26樓 G室,,註冊處成交,3房,$630,545 呎,"$11,560",
得利樓 2樓 15室,,註冊處成交,-,$232,380 呎,"$6,102",
寶翠閣 B座 5樓 B1室,,註冊處成交,-,$460,374 呎,"$12,299",
萬信台 13樓 B室,,註冊處成交,-,"$1,000",689 呎,"$14,514",
偉恆昌新邨 恒景閣 J座 8樓 3室,,註冊處成交,2房,$405,372 呎,"$10,887",
富輝花園 1座 3樓 C室,,註冊處成交,3房,$480,570 呎,"$8,421",
翠濤閣 1座 15樓 E室,,註冊處成交,3房,$578,703 呎,"$8,222",
偉基樓 10樓 E室,,註冊處成交,-,$280,301 呎,"$9,302",
華寶大廈 11樓 A室,,註冊處成交,-,$500,407 呎,"$12,285",
豐寓 中層 D室,,成交,開放式,"$15,200",273 呎,$56,露台
年豐大廈 16樓 A室,,註冊處成交,2房,$276,284 呎,"$9,718",
健威花園 E座 11樓 7室,,註冊處成交,2房,$560,456 呎,"$12,281",
海逸豪園 海逸灣 17座 21樓 B室,,註冊處成交,3房,"$1,780","1,100 呎","$16,182",
翠麗花園 4座 4樓 L室,,註冊處成交,2房,$307,427 呎,"$7,190",
名城 2期(盛薈) 3座 50樓 SC室,,註冊處成交,3房,$600,784 呎,"$7,653",露台 |  | 工作平台
麗城花園 二期 4座 低層 C室,,成交,3房,"$17,000",572 呎,$30,
峻巒 (Park Yoho) Park Yoho Milano 2C期 35A座 6樓 C室,,註冊處成交,2房,$485,495 呎,"$9,798",露台
君豪峰 28樓 Q室,,註冊處成交,1房,$550,299 呎,"$18,395",露台 |  | 工作平台
愉景灣 意堤 6座 8樓 A室,,註冊處成交,3房,"$1,200","1,019 呎","$11,776",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 26樓 5室,,"註冊處成交
一手",2房,$647,385 呎,"$16,810",露台 |  | 工作平台
皇都 28樓 A6室,,"註冊處成交
一手",2房,"$1,318",442 呎,"$29,826",車位 |  | 露台 |  | 工作平台
皇都 15樓 A2室,,"註冊處成交
一手",2房,$807,416 呎,"$19,397",露台 |  | 工作平台
Larchwood 19樓 F室,,"註冊處成交
一手",1房,$532,267 呎,"$19,910",露台 |  | 工作平台
朗天峰 2座 9樓 H室,,"註冊處成交
一手",1房,$302,291 呎,"$10,370",露台 |  | 工作平台
朗天峰 2座 6樓 F室,,"註冊處成交
一手",1房,$308,286 呎,"$10,779",露台 |  | 工作平台
朗天峰 1B座 18樓 D室,,"註冊處成交
一手",1房,$375,308 呎,"$12,164",露台 |  | 工作平台
朗天峰 1B座 3樓 F室,,"註冊處成交
一手",2房,$380,365 呎,"$10,424",露台 |  | 工作平台
朗天峰 1A座 15樓 F室,,"註冊處成交
一手",2房,$479,397 呎,"$12,062",露台 |  | 工作平台
朗天峰 1B座 10樓 C室,,"註冊處成交
一手",2房,$451,397 呎,"$11,362",露台 |  | 工作平台
朗天峰 2座 6樓 K室,,"註冊處成交
一手",2房,$376,370 呎,"$10,172",露台 |  | 工作平台
朗天峰 1A座 15樓 H室,,"註冊處成交
一手",2房,$470,403 呎,"$11,659",露台 |  | 工作平台
朗天峰 2座 6樓 E室,,"註冊處成交
一手",1房,$318,288 呎,"$11,025",露台 |  | 工作平台
朗天峰 1B座 3樓 H室,,"註冊處成交
一手",2房,$417,377 呎,"$11,051",露台 |  | 工作平台
朗天峰 2座 17樓 K室,,"註冊處成交
一手",2房,$433,370 呎,"$11,702",露台 |  | 工作平台
朗天峰 2座 19樓 A室,,"註冊處成交
一手",2房,$484,398 呎,"$12,156",露台 |  | 工作平台
朗天峰 1B座 10樓 D室,,"註冊處成交
一手",1房,$337,308 呎,"$10,942",露台 |  | 工作平台
泰峯 1B座 16樓 F室,,"註冊處成交
一手",2房,$770,468 呎,"$16,455",露台 |  | 工作平台
曉柏峰 A座 5樓 A11室,,"註冊處成交
一手",1房,$392,234 呎,"$16,758",露台 |  | 工作平台
滙都 滙都I 3座 7樓 B05室,,"註冊處成交
一手",2房,$459,448 呎,"$10,252",露台 |  | 工作平台
滙都 滙都I 3座 1樓 B05室,,"註冊處成交
一手",2房,$449,411 呎,"$10,924",平台
黃金海灣 珀岸 1B座 11樓 D室,,"註冊處成交
一手",2房,$517,427 呎,"$12,105",露台 |  | 工作平台
日出康城 Malibu 3A座 41樓 E室,,註冊處成交,2房,$788,576 呎,"$13,681",露台
愛海頌 2座 28樓 B室,,註冊處成交,2房,$728,488 呎,"$14,918",露台
立信大廈 6樓 I室,,註冊處成交,-,$203,238 呎,"$8,529",
愉景新城 1期 4座 7樓 F室,,註冊處成交,3房,$702,653 呎,"$10,750",
名城 3期(盛世) 1座 6樓 ND室,,註冊處成交,3房,"$1,180",757 呎,"$15,588",露台 |  | 工作平台
嘉湖山莊 翠湖居 6座 13樓 B室,,註冊處成交,3房,$450,633 呎,"$7,109",
邁亞美海灣 T-6座 3樓 E室,,註冊處成交,2房,$388,447 呎,"$8,680",
盈翠半島 1期 5座 8樓 H室,,註冊處成交,2房,$720,518 呎,"$13,900",
啟德1號(I) 大廈第一座 6樓 H室,,註冊處成交,3房,"$1,120",844 呎,"$13,270",露台
愛群閣 16樓 D室,,註冊處成交,-,$550,423 呎,"$13,002",
日出康城 Malibu 3A座 41樓 E室,,註冊處成交,2房,$788,576 呎,"$13,681",露台
愛海頌 2座 28樓 B室,,註冊處成交,2房,$728,488 呎,"$14,918",露台
新達廣場 2座 18樓 B室,,註冊處成交,2房,$606,489 呎,"$12,393",
翠華大廈 3座 12樓 B室,,註冊處成交,3房,$895,"1,028 呎","$8,706",
名城 3期(盛世) 1座 6樓 ND室,,註冊處成交,3房,"$1,180",757 呎,"$15,588",露台 |  | 工作平台
嘉湖山莊 翠湖居 6座 13樓 B室,,註冊處成交,3房,$450,633 呎,"$7,109",
邁亞美海灣 T-6座 3樓 E室,,註冊處成交,2房,$388,447 呎,"$8,680",
盈翠半島 1期 5座 8樓 H室,,註冊處成交,2房,$720,518 呎,"$13,900",
啟德1號(I) 大廈第一座 6樓 H室,,註冊處成交,3房,"$1,120",844 呎,"$13,270",露台
愛群閣 16樓 D室,,註冊處成交,-,$550,423 呎,"$13,002",
愉景新城 1期 4座 7樓 F室,,註冊處成交,3房,$702,653 呎,"$10,750",
東堤灣畔 2期 9座 29樓 G室,,註冊處成交,3房,$835,821 呎,"$10,171",
峻瀅 2期 1座 42樓 F室,,註冊處成交,2房,$528,504 呎,"$10,476",工作平台
太古城 海天花園 彩天閣 6樓 A室,,註冊處成交,3房,"$1,120",760 呎,"$14,737",
海名軒 2座 42樓 B室,,註冊處成交,4房,"$3,000","1,420 呎","$21,127",
一號九龍道 中層 B室,,成交,1房,"$16,500",302 呎,$55,露台
光前大廈 1座 13樓 A室,,註冊處成交,-,$400,279 呎,"$14,337",
葵興邨 第四座 (興樂樓) 6樓 12室,,註冊處成交,開放式,$236,439 呎,"$5,376",露台
建泰樓 1樓 2室,,註冊處成交,-,$220,296 呎,"$7,432",平台
環宇海灣 5座 低層 C室,,成交,3房,"$25,000",722 呎,$35,工作平台
凱滙 II期 3座 39樓 L室,,註冊處成交,2房,$900,592 呎,"$15,203",露台 |  | 工作平台
太興樓 4樓 M室,,註冊處成交,-,$218,312 呎,"$6,987",
63 Pokfulam 2座 5樓 C室,,註冊處成交,1房,$550,271 呎,"$20,295",平台 |  | 露台
錦翠園 7樓 B室,,註冊處成交,3房,"$1,300","1,004 呎","$12,948",
縉庭山 2座 60樓 D室,,註冊處成交,2房,$870,642 呎,"$13,551",平台 |  | 露台 |  | 工作平台
美孚新邨 四期 百老匯街113號 16樓 A室,,註冊處成交,3房,$640,670 呎,"$9,552",露台
陽明山莊 涵碧苑 12座 18樓 71室,,註冊處成交,4房,"$6,130","2,308 呎","$26,560",露台
雍雅軒 2座 31樓 G室,,註冊處成交,2房,$528,473 呎,"$11,163",
都會駅 二期 (城中駅) 6座 35樓 H室,,註冊處成交,3房,$776,594 呎,"$13,061",平台 |  | 露台 |  | 工作平台
映灣園 三期 10座 18樓 D室,,註冊處成交,3房,$695,718 呎,"$9,680",露台 |  | 工作平台
怡心園 1座 40樓 F室,,註冊處成交,2房,$490,503 呎,"$9,742",
豐景園 2座 12樓 2室,,註冊處成交,2房,$290,339 呎,"$8,555",
高宏苑 B座 29樓 22室,,"註冊處成交
一手",-,$203,375 呎,"$5,404",
高宏苑 B座 29樓 14室,,"註冊處成交
一手",-,$250,453 呎,"$5,518",
高宏苑 A座 11樓 11室,,"註冊處成交
一手",-,$151,278 呎,"$5,447",
高宏苑 A座 34樓 9室,,"註冊處成交
一手",-,$109,192 呎,"$5,690",
日出康城 Malibu 2B座 中層 C室,,成交,2房,"$15,000",540 呎,$28,露台
柏傲莊 柏傲莊 I 3B座 27樓 D室,,註冊處成交,1房,$718,327 呎,"$21,957",天台 |  | 平台 |  | 露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 19樓 11室,,"註冊處成交
一手",1房,$504,299 呎,"$16,862",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 3樓 2室,,"註冊處成交
一手",3房,$817,518 呎,"$15,769",露台 |  | 工作平台
皇都 15樓 A8室,,"註冊處成交
一手",2房,$935,524 呎,"$17,842",露台 |  | 工作平台
皇都 29樓 B5室,,"註冊處成交
一手",2房,"$1,543",503 呎,"$30,668",車位 |  | 露台 |  | 工作平台
利奧坊．首隅 20樓 H室,,"註冊處成交
一手",2房,$686,351 呎,"$19,550",露台 |  | 工作平台
美孚新邨 三期 百老匯街070號 低層 C室,,成交,2房,"$20,000",544 呎,$37,
貝沙灣 四期 (南灣) 8座 低層 C室,,成交,3房,"$1,935","1,090 呎","$17,752",車位
The Yoho Hub The Yoho Hub II 6座 27樓 C室,,"註冊處成交
一手",2房,$703,449 呎,"$15,650",露台
朗天峰 2座 9樓 K室,,"註冊處成交
一手",2房,$391,370 呎,"$10,571",露台 |  | 工作平台
朗天峰 1B座 10樓 H室,,"註冊處成交
一手",2房,$436,377 呎,"$11,571",露台 |  | 工作平台
朗天峰 1A座 10樓 F室,,"註冊處成交
一手",2房,$464,397 呎,"$11,691",露台 |  | 工作平台
朗天峰 1B座 22樓 B室,,"註冊處成交
一手",2房,$533,395 呎,"$13,492",露台 |  | 工作平台
朗天峰 1A座 15樓 G室,,"註冊處成交
一手",2房,$470,403 呎,"$11,659",露台 |  | 工作平台
朗天峰 2座 17樓 H室,,"註冊處成交
一手",1房,$342,291 呎,"$11,748",露台 |  | 工作平台
朗天峰 1B座 8樓 E室,,"註冊處成交
一手",1房,$338,292 呎,"$11,570",露台 |  | 工作平台
朗天峰 2座 6樓 A室,,"註冊處成交
一手",2房,$403,398 呎,"$10,137",露台 |  | 工作平台
朗天峰 1B座 9樓 E室,,"註冊處成交
一手",1房,$341,292 呎,"$11,682",露台 |  | 工作平台
朗天峰 2座 18樓 A室,,"註冊處成交
一手",2房,$479,398 呎,"$12,032",露台 |  | 工作平台
朗天峰 2座 12樓 B室,,"註冊處成交
一手",2房,$439,403 呎,"$10,901",露台 |  | 工作平台
朗天峰 2座 9樓 B室,,"註冊處成交
一手",2房,$414,403 呎,"$10,275",露台 |  | 工作平台
朗天峰 1B座 3樓 E室,,"註冊處成交
一手",1房,$329,292 呎,"$11,277",露台 |  | 工作平台
朗天峰 1B座 7樓 C室,,"註冊處成交
一手",2房,$425,397 呎,"$10,706",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2B座 23樓 J室,,"註冊處成交
一手",2房,"$1,049",538 呎,"$19,498",露台 |  | 工作平台
滙都 滙都I 2座 7樓 B09室,,"註冊處成交
一手",2房,$443,436 呎,"$10,150",露台 |  | 工作平台
滙都 滙都I 2座 8樓 B01室,,"註冊處成交
一手",2房,$481,453 呎,"$10,613",露台 |  | 工作平台
滙都 滙都I 3座 1樓 B02室,,"註冊處成交
一手",2房,$453,402 呎,"$11,257",平台
滙都 滙都I 2座 6樓 B01室,,"註冊處成交
一手",2房,$476,453 呎,"$10,509",露台 |  | 工作平台
康寧大廈 2樓 L室,,註冊處成交,-,$266,536 呎,"$4,963",
尚宜 A室,,成交,開放式,"$10,800",201 呎,$54,平台
One Innovale Cabanna 第3期 E座 8樓 7室,,註冊處成交,開放式,$288,224 呎,"$12,857",露台 |  | 工作平台
仁愛大樓 7樓 J室,,註冊處成交,-,$320,434 呎,"$7,373",
沙田第一城 3期 30座 中層 B室,,成交,3房,$500,451 呎,"$11,086",
麗城花園 三期 5座 高層 G室,,成交,3房,"$18,500",742 呎,$25,
蝶翠峰 二期 16座 3樓 E室,,註冊處成交,2房,$409,510 呎,"$8,020",
啟欣苑 A座 11樓 24室,,"註冊處成交
一手",-,$145,186 呎,"$7,787",
迎海 三期(迎海．星灣御) 16座 16樓 F室,,註冊處成交,2房,$660,491 呎,"$13,442",露台 |  | 工作平台
慶華大樓 2樓 F室,,註冊處成交,-,$300,354 呎,"$8,475",
欣景花園 2座 26樓 F室,,註冊處成交,3房,$672,652 呎,"$10,307",
愉景灣 尚堤 2座 (珀蘆) 8樓 C室,,註冊處成交,2房,$680,737 呎,"$9,227",露台 |  | 工作平台
莊士維港軒 21樓 C室,,註冊處成交,-,$620,350 呎,"$17,714",
翠華花園 B座 17樓 8室,,註冊處成交,-,$279,215 呎,"$12,967",
新利大廈 16樓 B室,,註冊處成交,-,$283,280 呎,"$10,107",
朗屏邨 悅屏樓 (8座) 20樓 15室,,註冊處成交,開放式,$252,349 呎,"$7,221",露台
匯景花園 11座 16樓 H室,,註冊處成交,3房,$838,720 呎,"$11,639",
天祐苑 A座 29樓 13室,,註冊處成交,1房,$308,538 呎,"$5,725",
麗港城 2期 30座 15樓 D室,,註冊處成交,3房,$713,687 呎,"$10,371",
逸意居 2座 16樓 D室,,註冊處成交,2房,"$1,150",731 呎,"$15,732",
世宙 2座 26樓 F室,,註冊處成交,2房,$540,431 呎,"$12,529",
愉景新城 3期 10座 6樓 A室,,註冊處成交,3房,$752,658 呎,"$11,429",
天鑽 1座 15樓 A室,,註冊處成交,3房,$913,757 呎,"$12,058",露台 |  | 工作平台
Grand Yoho 1期 10座 32樓 D室,,註冊處成交,2房,$726,519 呎,"$13,988",露台 |  | 工作平台
楓林花園 三期 8樓 C室,,註冊處成交,2房,$430,365 呎,"$11,781",
名城 3期(盛世) 3座 12樓 SC室,,註冊處成交,4房,"$1,518",958 呎,"$15,846",露台 |  | 工作平台
景峰花園 3座 低層 C室,,成交,2房,$272,409 呎,"$6,650",
帝庭軒 1期 3座 15樓 C室,,註冊處成交,3房,$690,607 呎,"$11,367",
美孚新邨 五期 蘭秀街4號 16樓 A室,,註冊處成交,3房,$600,656 呎,"$9,146",露台
雍雅軒 1座 高層 D室,,成交,2房,"$16,000",460 呎,$35,
德昌閣 17樓 A室,,註冊處成交,3房,$475,406 呎,"$11,700",露台
蔚雲閣 20樓 A室,,註冊處成交,3房,"$1,900",946 呎,"$20,085",車位 |  | 露台
朗屏8號 3座 低層 D室,,成交,3房,"$17,000",533 呎,$32,露台 |  | 工作平台
高宏苑 B座 25樓 13室,,"註冊處成交
一手",-,$210,375 呎,"$5,608",
瓏山一號 中層 2A室,,成交,3房,"$20,500",825 呎,$25,露台
利奧坊．凱岸 1座 高層 C室,,成交,1房,"$16,500",252 呎,$65,露台
滙都 滙都II 5座 10樓 B03室,,"註冊處成交
一手",1房,$363,338 呎,"$10,751",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 12樓 5室,,"註冊處成交
一手",2房,$621,384 呎,"$16,160",露台 |  | 工作平台
南首 5樓 B5室,,"註冊處成交
一手",1房,$425,263 呎,"$16,175",露台 |  | 工作平台
怡樂花園 2座 17樓 G室,,註冊處成交,2房,$350,412 呎,"$8,495",
NOVO LAND 3B期 Fiskars 第2A座 2樓 A1室,,"註冊處成交
一手",3房,$884,656 呎,"$13,482",平台
港島南岸 海盈山4A期 2B座 23樓 E室,,"註冊處成交
一手",2房,"$1,014",488 呎,"$20,782",露台 |  | 工作平台
滙都 滙都I 2座 1樓 B09室,,"註冊處成交
一手",1房,$372,313 呎,"$11,898",平台
滙都 滙都I 2座 5樓 B09室,,"註冊處成交
一手",2房,$438,436 呎,"$10,052",露台 |  | 工作平台
朗天峰 2座 9樓 E室,,"註冊處成交
一手",1房,$322,288 呎,"$11,190",露台 |  | 工作平台
朗天峰 2座 12樓 E室,,"註冊處成交
一手",1房,$332,288 呎,"$11,531",露台 |  | 工作平台
朗天峰 1B座 7樓 H室,,"註冊處成交
一手",2房,$419,377 呎,"$11,115",露台 |  | 工作平台
朗天峰 1B座 15樓 C室,,"註冊處成交
一手",2房,$468,397 呎,"$11,785",露台 |  | 工作平台
朗天峰 1A座 7樓 H室,,"註冊處成交
一手",2房,$446,403 呎,"$11,068",露台 |  | 工作平台
朗天峰 1B座 3樓 C室,,"註冊處成交
一手",2房,$380,397 呎,"$9,584",露台 |  | 工作平台
朗天峰 2座 12樓 K室,,"註冊處成交
一手",2房,$412,370 呎,"$11,147",露台 |  | 工作平台
朗天峰 2座 9樓 G室,,"註冊處成交
一手",1房,$310,291 呎,"$10,652",露台 |  | 工作平台
朗天峰 1B座 7樓 E室,,"註冊處成交
一手",1房,$339,292 呎,"$11,622",露台 |  | 工作平台
朗天峰 2座 6樓 B室,,"註冊處成交
一手",2房,$392,403 呎,"$9,734",露台 |  | 工作平台
黃金海灣 珀岸 1B座 19樓 F室,,"註冊處成交
一手",2房,$479,441 呎,"$10,857",露台 |  | 工作平台
君滙港 3座 中層 D室,,成交,2房,"$21,000",478 呎,$44,露台
尚柏 5樓 D室,,註冊處成交,1房,$280,284 呎,"$9,859",露台 |  | 工作平台
安秀苑 A座 1樓 14室,,"註冊處成交
一手",-,$220,388 呎,"$5,668",
永隆大廈 2樓 E室,,註冊處成交,-,$310,488 呎,"$6,352",
友誠大廈 15樓 C室,,註冊處成交,-,$300,393 呎,"$7,634",
基隆大廈 4樓 B室,,註冊處成交,-,$395,546 呎,"$7,234",
悅麗苑 麗霞閣(C座) 中層 5室,,成交,2房,"$13,000",421 呎,$31,
爵士花園 5座 11樓 C室,,註冊處成交,-,"$1,300","1,038 呎","$12,524",
好運中心 A1座 ( 松林閣 ) 10樓 F室,,註冊處成交,2房,$428,334 呎,"$12,814",
怡豐花園 B座 3樓 2室,,註冊處成交,2房,$277,329 呎,"$8,419",
茵怡花園 5座 30樓 C室,,註冊處成交,-,$495,485 呎,"$10,206",平台
逸瓏灣 I 15座(低座) 5&R樓 C室,,註冊處成交,1房,$668,638 呎,"$10,470",複式 |  | 天台 |  | 平台 |  | 露台 |  | 工作平台
黃埔花園 十一期 12座 4樓 F室,,註冊處成交,3房,$690,639 呎,"$10,798",
嘉柏大廈 20樓 D室,,註冊處成交,-,$808,572 呎,"$14,126",
海之戀 2期(愛炫美) 3C座 17樓 D室,,註冊處成交,2房,$829,538 呎,"$15,405",露台
富豪花園 J座 (翡翠閣) 25樓 D室,,註冊處成交,3房,$518,560 呎,"$9,250",
啟德1號 (II) 大廈第五座 20樓 J室,,註冊處成交,2房,"$1,023",561 呎,"$18,235",露台
愉景灣 尚堤 1座 (碧蘆) 19樓 E室,,註冊處成交,3房,$837,904 呎,"$9,259",露台 |  | 工作平台
海之戀 2期(愛炫美) 3C座 15樓 C室,,註冊處成交,2房,$820,531 呎,"$15,443",露台
愉景新城 2期 6座 43樓 C室,,註冊處成交,2房,$568,485 呎,"$11,711",
高士台 1座 17樓 A室,,註冊處成交,3房,"$3,380","1,513 呎","$22,340",露台
德基大廈 16樓 B室,,註冊處成交,-,$430,419 呎,"$10,263",
